wavelength_nm,response
774,0.00037316
775,0.00296451
776,0.01663315
777,0.02818619
778,0.05000442
779,0.08575595
780,0.14871265
781,0.25701156
782,0.42307501
783,0.62943997
784,0.80112571
785,0.90352196
786,0.93855197
787,0.94406104
788,0.9474892
789,0.96325767
790,0.97948137
791,0.99144397
792,0.99630748
793,1.0
794,0.99827121
795,0.99843182
796,0.98914342
797,0.98264167
798,0.96769944
799,0.95752283
800,0.95074919
801,0.9458125
802,0.94267916
803,0.9465958
804,0.94450012
805,0.93992861
806,0.92759688
807,0.91226544
808,0.89079677
809,0.8706102
810,0.85021777
811,0.83416655
812,0.82214927
813,0.8124078
814,0.80920229
815,0.80220847
816,0.79081499
817,0.78239761
818,0.76731527
819,0.75394962
820,0.74226922
821,0.72750987
822,0.71976209
823,0.71456726
824,0.71982866
825,0.72746214
826,0.73945306
827,0.75138424
828,0.76310661
829,0.77122498
830,0.78298312
831,0.78494127
832,0.78409222
833,0.7834498
834,0.78216032
835,0.78062401
836,0.78132572
837,0.7813272
838,0.7810081
839,0.77897938
840,0.7761445
841,0.76910534
842,0.7625494
843,0.75157186
844,0.74086146
845,0.73121299
846,0.71988688
847,0.71025573
848,0.69679744
849,0.68602501
850,0.67163906
851,0.65532408
852,0.64173681
853,0.62683353
854,0.61241074
855,0.60185411
856,0.59380689
857,0.58714687
858,0.58444579
859,0.58231388
860,0.58111599
861,0.57996902
862,0.57480451
863,0.57684802
864,0.57273034
865,0.57144461
866,0.56985127
867,0.57167225
868,0.57154913
869,0.57292235
870,0.57617796
871,0.5784908
872,0.58023702
873,0.57982619
874,0.57868642
875,0.57587451
876,0.56976789
877,0.56173136
878,0.55644176
879,0.54881732
880,0.54508423
881,0.54153848
882,0.54069902
883,0.53850959
884,0.53655263
885,0.530404
886,0.52068821
887,0.50399678
888,0.486513
889,0.46813829
890,0.45468861
891,0.44447936
892,0.44177056
893,0.44425396
894,0.44633078
895,0.43914074
896,0.41748156
897,0.3690277
898,0.30165803
899,0.23504284
900,0.17434599
901,0.12247894
902,0.08354059
903,0.05624109
904,0.03804368
905,0.02427229
906,0.01490577
907,0.00615862
