wavelength_nm,response
848,0.00167523
849,0.01602231
850,0.03225867
851,0.07345268
852,0.1689243
853,0.34543042
854,0.56923369
855,0.79611745
856,0.93749188
857,0.98102805
858,0.98742384
859,0.99457226
860,0.99912415
861,0.99993652
862,1.0
863,0.99437257
864,0.98756135
865,0.98263615
866,0.9790323
867,0.97397518
868,0.97130259
869,0.9645338
870,0.95610202
871,0.93941552
872,0.89155652
873,0.77601041
874,0.5951886
875,0.37588812
876,0.18394037
877,0.07870072
878,0.0332686
879,0.01575167
880,0.00159818
