wavelength_nm,response
522,8.157e-05
523,0.00066641
524,0.00071897
525,0.00083377
526,0.00101311
527,0.00107066
528,0.00103226
529,0.00105055
530,0.00110685
531,0.00120911
532,0.00126081
533,0.00124884
534,0.00124923
535,0.00130342
536,0.00146974
537,0.00188155
538,0.00291822
539,0.00539007
540,0.01271456
541,0.04176891
542,0.17729071
543,0.54945111
544,0.87793087
545,0.96104149
546,0.96873939
547,0.97152826
548,0.96152463
549,0.94825272
550,0.9364271
551,0.92689953
552,0.92262444
553,0.92673684
554,0.93589684
555,0.94794307
556,0.96104407
557,0.97392542
558,0.98488012
559,0.9932096
560,0.99919513
561,1.0
562,0.99001053
563,0.9716939
564,0.95486684
565,0.94319039
566,0.93486017
567,0.92703673
568,0.92220085
569,0.9251953
570,0.93557013
571,0.94883248
572,0.95940323
573,0.96790723
574,0.9748133
575,0.98014832
576,0.97775192
577,0.90095623
578,0.60308291
579,0.25252034
580,0.08152405
581,0.02743601
582,0.01047672
583,0.00478877
584,0.00278504
585,0.00191717
586,0.00145442
587,0.00120403
588,0.00106692
589,0.00102939
590,0.00106386
591,0.00114343
592,0.00120346
593,0.00115606
594,0.00098209
595,0.00078714
596,0.00064697
597,0.00056156
598,0.00051292
599,0.00051254
