wavelength_nm,response
834,0.00014085
835,0.00016582
836,0.00016957
837,0.00017988
838,0.00019164
839,0.00019982
840,0.00021346
841,0.00022982
842,0.00025674
843,0.00030072
844,0.00034792
845,0.00043092
846,0.00057059
847,0.00082223
848,0.00130914
849,0.00218761
850,0.00410007
851,0.00881513
852,0.02184811
853,0.0583682
854,0.14177373
855,0.31471883
856,0.58066995
857,0.84201617
858,0.97572244
859,1.0
860,0.99747077
861,0.98871937
862,0.97735675
863,0.96789894
864,0.96399519
865,0.96422724
866,0.96502892
867,0.96279973
868,0.956284
869,0.94721366
870,0.93631743
871,0.9232905
872,0.90552703
873,0.87056653
874,0.79724028
875,0.65304349
876,0.43759252
877,0.22648789
878,0.09601967
879,0.04211745
880,0.01903928
881,0.00894849
882,0.00451148
883,0.00246106
884,0.00152558
885,0.00100305
886,0.00068716
887,0.00049304
888,0.00037519
889,0.00030481
890,0.00025922
891,0.000223
892,0.00019761
893,0.00017715
894,0.0001619
895,0.00015389
896,0.00014009
897,0.00013804
898,4.678e-05
