model,kan_arch,rmse,mae,r2,smape
kan,baseline,0.0107693,0.00570311,0.993448,6.31982
kan,balanced_deep,0.0117127,0.00589878,0.992646,5.81523
kan,large_deep,0.012725,0.00658502,0.991724,6.2344
kan,shared_trunk_multihead,0.0114732,0.00607596,0.992126,5.33456
kan,small,0.0111638,0.00630456,0.992635,6.35613
pkan,baseline,0.0147989,0.00737873,0.991678,6.84218
pkan,balanced_deep,0.0115346,0.00637131,0.992801,5.49193
pkan,large_deep,0.0138253,0.00682875,0.991329,6.06045
pkan,shared_trunk_multihead,0.0110193,0.00594302,0.992995,5.11297
pkan,small,0.0102233,0.00544004,0.994183,5.3985
