model,kan_arch,rmse,mae,r2,smape
kan,baseline,0.00623359,0.00185086,0.994619,4.05358
kan,balanced_deep,0.00674797,0.00234063,0.994583,4.80476
kan,large_deep,0.00664866,0.00203705,0.994202,4.55427
kan,shared_trunk_multihead,0.00622877,0.00175737,0.994653,3.78031
kan,small,0.00649092,0.00200363,0.994453,4.59518
pkan,baseline,0.00619356,0.00186946,0.994729,3.91249
pkan,balanced_deep,0.00637509,0.00179109,0.994269,3.60203
pkan,large_deep,0.00651162,0.0020297,0.994435,3.96976
pkan,shared_trunk_multihead,0.00676723,0.00194331,0.993704,3.28868
pkan,small,0.00657132,0.00218488,0.994423,4.54689
