split,band,target,coefficient,n_rows,rmse,mae,r2,mape,smape,model,split_mode,fidelity_mode
test,B1,T_total,T_total,13847,0.018848382198405653,0.01281327931766623,0.9780079928452897,2.5934044837891483,2.652549560823099,pkan,ood_aod_cwv,oracle_residual
test,B1,rho_path,rho_path,13847,0.006211067350568003,0.004600537750250408,0.9855042970528555,2.8604064664040982,2.8445514338905773,pkan,ood_aod_cwv,oracle_residual
test,B1,spher_alb,spher_alb,13847,0.005449593381270537,0.004205333864898934,0.9875204160620291,1.5466113098826713,1.5459483850062608,pkan,ood_aod_cwv,oracle_residual
test,B10,T_total,T_total,1476,0.023957247609774027,0.019928620465405507,-130.77801125738813,932357.3397641904,189.26284689681123,pkan,ood_aod_cwv,oracle_residual
test,B10,rho_path,rho_path,1476,0.003490259086025256,0.002797970333168009,-34.59734870912236,273.4731459556331,109.90661894766582,pkan,ood_aod_cwv,oracle_residual
test,B10,spher_alb,spher_alb,1476,0.07988738919808218,0.028942018701233398,0.4378722291632495,263565.40426825883,71.0621370706271,pkan,ood_aod_cwv,oracle_residual
test,B11,T_total,T_total,13847,0.011778059209210432,0.00868357196821498,0.9681112129389631,1.022545568402363,1.0295692142013166,pkan,ood_aod_cwv,oracle_residual
test,B11,rho_path,rho_path,13847,0.002468141269449149,0.0014909713511444761,0.9649668112124277,12.608272349436914,10.669459718591689,pkan,ood_aod_cwv,oracle_residual
test,B11,spher_alb,spher_alb,13847,0.0052522771811413654,0.003934085169521768,0.9628064917512575,10.428412919663925,7.882145984055952,pkan,ood_aod_cwv,oracle_residual
test,B12,T_total,T_total,13847,0.019269432085248592,0.013101664404408669,0.8590205997618713,1.7332571699411512,1.7660785068686506,pkan,ood_aod_cwv,oracle_residual
test,B12,rho_path,rho_path,13847,0.0015763403371342342,0.0010352347646886515,0.9433898148383502,21.68353054300396,18.725163597597707,pkan,ood_aod_cwv,oracle_residual
test,B12,spher_alb,spher_alb,13847,0.004642142274446516,0.0034485219782118986,0.9399952384142277,13.222084306114684,11.689729544237187,pkan,ood_aod_cwv,oracle_residual
test,B2,T_total,T_total,13847,0.019646802371582665,0.014107122874185911,0.9765233040740838,2.513310773913439,2.5721956386492644,pkan,ood_aod_cwv,oracle_residual
test,B2,rho_path,rho_path,13847,0.005669365412245929,0.003966948731086173,0.9848115282492691,3.456232108401908,3.4251195254800173,pkan,ood_aod_cwv,oracle_residual
test,B2,spher_alb,spher_alb,13847,0.005337140687929754,0.004204689792418657,0.9899939650424218,1.88446264555935,1.8893105256602756,pkan,ood_aod_cwv,oracle_residual
test,B3,T_total,T_total,13847,0.020816473421465663,0.01542459039827749,0.9716394380644026,2.6776432552543667,2.743572590467584,pkan,ood_aod_cwv,oracle_residual
test,B3,rho_path,rho_path,13847,0.005559669401064275,0.0038814525209211774,0.9816871677138358,4.169817791446275,4.13892158790005,pkan,ood_aod_cwv,oracle_residual
test,B3,spher_alb,spher_alb,13847,0.005628268149156098,0.004420156360012603,0.9891434978058693,2.1735090249116484,2.179415849814624,pkan,ood_aod_cwv,oracle_residual
test,B4,T_total,T_total,13847,0.021359063744303866,0.01642657731718696,0.9642210685529847,2.5893908070086766,2.6448790577939465,pkan,ood_aod_cwv,oracle_residual
test,B4,rho_path,rho_path,13847,0.004889278200970943,0.0034516096626811743,0.9833617326358226,4.9792829107695145,4.987397313366543,pkan,ood_aod_cwv,oracle_residual
test,B4,spher_alb,spher_alb,13847,0.005676637729106152,0.004478009351067589,0.9890920849331726,2.7605864446877297,2.7836449122737092,pkan,ood_aod_cwv,oracle_residual
test,B5,T_total,T_total,13847,0.03037400205288301,0.02365332675073141,0.8765505440127119,4.152930874535235,4.292534763992198,pkan,ood_aod_cwv,oracle_residual
test,B5,rho_path,rho_path,13847,0.004057563835522321,0.0029005382055389936,0.9846610001320584,5.728974219781291,5.869170738715853,pkan,ood_aod_cwv,oracle_residual
test,B5,spher_alb,spher_alb,13847,0.006114219689268945,0.004800426514850607,0.9860777281945896,3.6538621501163693,3.7395209326787757,pkan,ood_aod_cwv,oracle_residual
test,B6,T_total,T_total,13847,0.019021139114292103,0.014479401372542595,0.9718842973346105,2.0569639552427086,2.0900254479133946,pkan,ood_aod_cwv,oracle_residual
test,B6,rho_path,rho_path,13847,0.004014628367676827,0.0027572522401264096,0.9878420093900021,4.672853483969892,4.686945694282573,pkan,ood_aod_cwv,oracle_residual
test,B6,spher_alb,spher_alb,13847,0.005791092107751256,0.0046720367975975835,0.9873983981243847,3.333808176253214,3.38825755874477,pkan,ood_aod_cwv,oracle_residual
test,B7,T_total,T_total,13847,0.01734953180758204,0.012800897707480803,0.9779717067024128,1.7618155556501665,1.7858865922963338,pkan,ood_aod_cwv,oracle_residual
test,B7,rho_path,rho_path,13847,0.003701708198636621,0.00247339958662933,0.9893081056705377,4.428559341337871,4.405967625625076,pkan,ood_aod_cwv,oracle_residual
test,B7,spher_alb,spher_alb,13847,0.005196031463974827,0.0040642705296643844,0.9893393421501592,2.8180169130784964,2.840939942271275,pkan,ood_aod_cwv,oracle_residual
test,B8,T_total,T_total,13847,0.02709464132740547,0.02110319907393035,0.9279019576603281,3.057907006826357,3.1339241555274002,pkan,ood_aod_cwv,oracle_residual
test,B8,rho_path,rho_path,13847,0.0038140407041198734,0.0026355657930385488,0.987064258131245,5.2369573709902175,5.293775725771272,pkan,ood_aod_cwv,oracle_residual
test,B8,spher_alb,spher_alb,13847,0.0057615933867386036,0.00469309243335841,0.9867017553026564,3.6628497483946516,3.7310926010366674,pkan,ood_aod_cwv,oracle_residual
test,B8A,T_total,T_total,13847,0.018353524588065346,0.01349441345016767,0.9733984894904647,1.7842979630365945,1.810363962560556,pkan,ood_aod_cwv,oracle_residual
test,B8A,rho_path,rho_path,13847,0.003372098933617509,0.0022058172490830594,0.9891824860246174,4.770485084667229,4.737193993436663,pkan,ood_aod_cwv,oracle_residual
test,B8A,spher_alb,spher_alb,13847,0.00507445327727471,0.003936681599638247,0.9885080876396813,3.152275973189074,3.1852597728235224,pkan,ood_aod_cwv,oracle_residual
test,B9,T_total,T_total,13847,0.0246994607816485,0.01947771054965703,0.9438148519062823,33.73031465594276,44.09421091096058,pkan,ood_aod_cwv,oracle_residual
test,B9,rho_path,rho_path,13847,0.004048613601500463,0.0027567683949073895,0.8900010516692645,22.476722662231545,24.81761012805221,pkan,ood_aod_cwv,oracle_residual
test,B9,spher_alb,spher_alb,13847,0.00793932660230815,0.0057410939117040274,0.9496439200755306,28.290663187207514,19.34280703418287,pkan,ood_aod_cwv,oracle_residual
